Fed Id,Type,Name,Branches,City,State,Unweighted Deposits,Unweighted Rank,Unweighted Market Share,Weighted Deposits,Weighted Rank,Weighted Market Share,Buyer,Target,market_name
2277860,BHC,CAPITAL ONE FINANCIAL CORPORATION,1,MCLEAN,VA,"171,657.305",1,43.52,"171,657.305",1,44.91,NA,NA,"Wilmington, DE-MD"
112837,BANK,"CAPITAL ONE, NATIONAL ASSOCIATION",1,MCLEAN,VA,"171,657.305",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1238565,BHC,THE TORONTO-DOMINION BANK,11,TORONTO,NA,"160,402.982",2,40.66,"160,402.982",2,41.97,NA,NA,"Wilmington, DE-MD"
2121196,BANK,"TD BANK USA, NATIONAL ASSOCIATION",1,WILMINGTON,DE,"24,284.516",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
497404,BANK,"TD BANK, NATIONAL ASSOCIATION",10,WILMINGTON,DE,"136,118.466",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1231418,BHC,BARCLAYS PLC,1,LONDON,NA,"21,140.000",3,5.36,"21,140.000",3,5.53,NA,NA,"Wilmington, DE-MD"
2980209,BANK,BARCLAYS BANK DELAWARE,1,WILMINGTON,DE,"21,140.000",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1037003,BHC,M&T BANK CORPORATION,26,BUFFALO,NY,"13,486.488",4,3.42,"13,486.488",4,3.53,NA,NA,"Wilmington, DE-MD"
2265456,BANK,"WILMINGTON TRUST, NATIONAL ASSOCIATION",3,WILMINGTON,DE,"9,575.679",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
501105,BANK,MANUFACTURERS AND TRADERS TRUST COMPANY,23,BUFFALO,NY,"3,910.809",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1069778,BHC,"THE PNC FINANCIAL SERVICES GROUP, INC.",30,PITTSBURGH,PA,"4,398.415",7,1.12,"4,398.415",5,1.15,NA,NA,"Wilmington, DE-MD"
817824,BANK,"PNC BANK, NATIONAL ASSOCIATION",30,WILMINGTON,DE,"4,398.415",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1120754,BHC,WELLS FARGO & COMPANY,14,SAN FRANCISCO,CA,"3,391.889",8,0.86,"3,391.889",6,0.89,NA,NA,"Wilmington, DE-MD"
451965,BANK,"WELLS FARGO BANK, NATIONAL ASSOCIATION",14,SIOUX FALLS,SD,"3,391.889",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
3844269,SLHC,WSFS FINANCIAL CORPORATION,22,WILMINGTON,DE,"5,390.566",6,1.37,"2,695.283",7,0.71,NA,NA,"Wilmington, DE-MD"
437914,THRIFT,"WILMINGTON SAVINGS FUND SOCIETY, FSB",22,WILMINGTON,DE,"5,390.566",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1073757,BHC,BANK OF AMERICA CORPORATION,11,CHARLOTTE,NC,"2,463.140",10,0.62,"2,463.140",8,0.64,NA,NA,"Wilmington, DE-MD"
480228,BANK,"BANK OF AMERICA, NATIONAL ASSOCIATION",11,CHARLOTTE,NC,"2,463.140",NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1132449,BHC,"CITIZENS FINANCIAL GROUP, INC.",14,PROVIDENCE,RI,843.419,11,0.21,843.419,9,0.22,NA,NA,"Wilmington, DE-MD"
3303298,BANK,"CITIZENS BANK, NATIONAL ASSOCIATION",14,PROVIDENCE,RI,843.419,NA,NA,NA,NA,NA,NA,NA,"Wilmington, DE-MD"
1117129,BHC,FULTON FINANCIAL CORPORATION,6,LANCASTER,PA,525.833,12,0.13,525.833,10,0.14,NA,NA,"Wilmington, DE-MD"
