County,State,market_name
CECIL,MD,"Wilmington, DE-MD"
NEW CASTLE,DE,"Wilmington, DE-MD"
KENT,DE,"Dover, DE"
SUSSEX *,DE,"Dover, DE"
SUSSEX *,DE,"Sussex County, DE"
BIBB,AL,"Birmingham, AL"
BLOUNT,AL,"Birmingham, AL"
CHILTON,AL,"Birmingham, AL"
JEFFERSON,AL,"Birmingham, AL"
SAINT CLAIR,AL,"Birmingham, AL"
SHELBY,AL,"Birmingham, AL"
TALLADEGA,AL,"Birmingham, AL"
WALKER,AL,"Birmingham, AL"
LEE *,AL,"Auburn-Opelika, AL"
CHEROKEE,AL,"Cherokee County, AL"
BARBOUR,AL,"Barbour County, AL"
BULLOCK,AL,"Bullock County, AL"
TALLAPOOSA *,AL,"Alexander City, AL"
BUTLER,AL,"Butler County, AL"
CALHOUN,AL,"Anniston, AL"
CLEBURNE *,AL,"Anniston, AL"
WILCOX *,AL,"Camden, AL"
DALE *,AL,"Dothan, AL"
GENEVA *,AL,"Dothan, AL"
HENRY,AL,"Dothan, AL"
HOUSTON,AL,"Dothan, AL"
WASHINGTON *,AL,"Chatom, AL"
ETOWAH,AL,"Etowah County, AL"
COLBERT,AL,"Florence, AL"
LAUDERDALE,AL,"Florence, AL"
LIMESTONE,AL,"Huntsville, AL-TN"
MADISON,AL,"Huntsville, AL-TN"
MARSHALL,AL,"Marshall County, AL"
BALDWIN *,AL,"Mobile, AL"
MOBILE,AL,"Mobile, AL"
CONECUH *,AL,"Monroeville, AL"
MONROE,AL,"Monroeville, AL"
LAWRENCE,AL,"Decatur, AL"
MORGAN,AL,"Decatur, AL"
CHOCTAW,AL,"Choctaw County, AL"
HALE *,AL,"Tuscaloosa, AL"
TUSCALOOSA,AL,"Tuscaloosa, AL"
CLAY,AL,"Clay County, AL"
COOSA,AL,"Coosa County, AL"
COVINGTON,AL,"Covington County, AL"
CRENSHAW,AL,"Crenshaw County, AL"
CULLMAN,AL,"Cullman County, AL"
ALEXANDRIA (CITY),VA,"Washington, DC-MD-VA-WV"
ANNE ARUNDEL *,MD,"Washington, DC-MD-VA-WV"
